0 | 194.015831 203.153840 46.952739 22.625909 -0.529757
4 | 194.902212 203.709490 46.653620 23.930767 -0.508738
12 | 193.779546 203.480522 47.285873 22.929315 -0.521759
18 | 194.383648 203.776228 46.594617 22.959373 -0.529044
19 | 193.996886 203.801024 47.896119 23.790495 -0.498287
28 | 191.790483 205.503655 47.151043 23.717120 -0.548208
31 | 191.875832 205.682263 47.301895 23.658917 -0.557539
32 | 193.657549 205.164563 48.070321 23.951878 -0.529821
37 | 194.184915 204.850525 48.651739 23.656206 -0.503503
39 | 191.817307 205.212293 47.254100 23.144127 -0.538140
88 | 193.676062 203.693486 47.090322 23.967195 -0.518948
91 | 193.841394 204.123379 48.706524 23.090202 -0.512537
96 | 194.406950 202.970532 47.652350 23.508197 -0.542003
97 | 194.568094 203.779697 47.186783 23.671892 -0.512650
98 | 195.323314 202.869289 49.127276 23.033263 -0.530208
99 | 196.692451 202.760337 48.205584 24.359063 -0.508879
101 | 196.847739 202.984512 47.119318 24.198986 -0.494820
115 | 220.052582 197.946924 48.745141 26.044070 -0.352777
116 | 222.728393 197.418577 48.868974 25.825582 -0.404790
119 | 237.287534 196.006893 48.339686 27.300468 -0.330288
132 | 287.202311 195.704741 47.565218 31.851097 -0.129489
151 | 341.276405 202.614619 48.363653 31.680377 0.241650
157 | 344.287497 203.006081 48.667259 32.027498 0.222455
163 | 346.196142 203.340751 48.875402 32.735428 0.251853
167 | 347.394577 204.098710 49.500936 32.516207 0.253363
169 | 346.788438 204.473723 49.468088 33.048563 0.256610
170 | 347.263570 204.052765 49.163651 32.219698 0.251928
175 | 347.676193 204.246278 48.993715 32.561190 0.208165
182 | 348.008863 202.847923 48.883333 31.992914 0.255222
184 | 348.169321 203.115680 49.302634 31.565191 0.222089
188 | 347.008024 203.393568 48.695030 32.805096 0.235147
194 | 343.423443 202.107932 48.931192 31.715275 0.208578
196 | 343.087591 201.980352 48.893589 31.982727 0.229927
198 | 341.192728 202.063145 48.265567 31.281303 0.242596
206 | 330.612676 199.656843 48.305108 32.109097 0.157929
207 | 329.377631 199.747627 48.818738 31.086219 0.163350
219 | 297.346876 197.135050 48.978835 31.306396 -0.010872
220 | 295.155120 197.079417 48.225967 31.172779 -0.018738
227 | 267.393670 197.776804 48.546620 30.275180 -0.149097
240 | 246.614843 199.158136 48.553490 29.564012 -0.301278
249 | 240.681424 199.187952 48.334975 28.315665 -0.313943
251 | 239.221540 199.050933 48.672036 27.899498 -0.329674
261 | 238.205087 199.173122 48.555503 27.918068 -0.313872
263 | 238.723785 199.016323 48.592392 27.584755 -0.305597
283 | 244.382676 197.661447 48.446701 28.516918 -0.288269
306 | 266.302811 191.437662 47.222397 29.118466 -0.148803
316 | 295.142812 185.908020 46.223083 28.577580 -0.007388
319 | 297.305277 185.339789 47.582580 27.596950 -0.014571
323 | 300.635037 185.072336 46.775899 27.579041 -0.046522
324 | 300.349858 184.796166 46.341417 27.004243 -0.030888
329 | 301.087116 184.673876 46.656814 26.987998 -0.010181
332 | 302.382185 184.744570 47.308448 28.004914 0.056404
333 | 302.118858 183.996940 46.435899 27.069176 0.007101
339 | 306.182618 183.442479 47.288377 26.035377 0.025872
353 | 308.226828 183.073641 45.359745 26.074962 0.028299
359 | 308.257351 183.598025 47.516911 26.174340 0.099715
364 | 307.555780 182.956859 47.689461 26.448236 0.051860
365 | 308.359543 183.141532 46.901434 26.376246 0.083427
370 | 306.210199 185.515418 48.207302 28.171185 0.081014
376 | 305.430390 186.116456 49.435028 28.662658 0.030715
378 | 304.160175 186.396083 49.087055 28.307374 0.046818
384 | 302.663325 188.274666 48.787645 29.440184 0.023198
391 | 297.498979 192.133857 48.981260 30.140524 0.002014
392 | 298.339890 192.183603 49.129575 29.744393 -0.003808
403 | 282.049742 208.163054 51.366606 33.906501 -0.079413
405 | 279.820029 209.520771 51.098647 35.332809 -0.080055
407 | 277.796059 210.760553 50.468808 35.786508 -0.082361
418 | 275.735797 216.100575 50.746373 36.470933 -0.165296
419 | 275.196325 217.603374 51.690818 36.700625 -0.217512
422 | 273.138697 219.277877 50.862883 37.959078 -0.154936
425 | 272.483515 220.723720 51.853830 37.593110 -0.168305
442 | 270.905066 219.714543 50.639822 37.530070 -0.165001
447 | 270.652096 219.756999 51.239992 37.933504 -0.173275
457 | 270.826948 219.291491 52.304806 37.793366 -0.156443
459 | 271.167621 218.893648 51.933014 37.917445 -0.180085
469 | 274.098245 217.243780 51.493354 38.359092 -0.114108
474 | 275.929701 216.741480 51.779484 38.470838 -0.184231
483 | 285.857710 208.225943 51.627872 35.798278 -0.080391
486 | 288.871525 206.749725 51.941830 35.012585 -0.044773
490 | 298.345656 199.407094 50.480559 33.137550 -0.024465
512 | 315.966190 187.457356 49.798454 28.031263 0.051117
518 | 314.925990 185.879256 49.260599 27.523834 0.060268
520 | 314.224221 185.649948 50.296814 27.796012 0.079713
525 | 315.264924 185.204342 49.641866 27.013959 0.089025
527 | 315.758174 185.129409 49.106442 27.212220 0.097949
533 | 315.629810 184.597698 49.761162 27.263540 0.080233
535 | 314.659641 184.952531 49.870224 27.038734 0.110611
538 | 304.276869 186.865603 48.654066 28.395818 0.045542
551 | 228.699659 236.337033 52.166249 38.392658 -0.457821
554 | 228.672112 236.236159 51.442867 38.774645 -0.457735
563 | 335.169639 224.300402 49.924811 38.347841 0.206408
567 | 334.480290 224.315893 50.913881 38.663031 0.225784
569 | 298.633173 203.357904 47.977077 34.146897 -0.001925
570 | 296.187121 202.984070 49.527602 33.390495 -0.007299
573 | 262.500152 195.773979 47.373641 29.256457 -0.190608
574 | 250.141093 195.681619 49.933299 28.088183 -0.259159
595 | 342.055056 174.742004 46.731506 22.665602 0.200244
599 | 275.092801 184.288883 49.124654 25.182722 -0.073366
600 | 272.334036 183.433235 47.502674 25.632388 -0.083982
609 | 239.497761 189.731085 45.664706 24.048506 -0.280798
610 | 241.202977 187.698844 46.327315 22.647113 -0.343787
612 | 242.019097 188.295398 46.273522 24.567220 -0.311294
617 | 303.005197 181.857681 45.793634 26.231339 0.026355
618 | 312.925879 180.809644 45.872984 23.199294 -0.011006
619 | 324.060940 180.693611 47.666712 24.492643 0.095830
623 | 325.203578 179.722160 48.205387 24.650869 0.129020
624 | 325.920071 179.919016 47.959246 24.965331 0.099560
625 | 326.433971 179.501336 47.541330 25.508871 0.142447
638 | 278.715431 211.889098 49.498825 35.781677 -0.130982
639 | 278.014767 212.218308 49.807370 37.059654 -0.137921
657 | 342.757784 178.953914 46.520462 23.730638 0.270353
667 | 275.074993 228.212573 48.676541 38.526949 -0.169544
672 | 273.695730 228.120098 49.846745 39.285533 -0.167469
673 | 273.513056 228.076295 50.384807 39.813524 -0.203299
681 | 333.847430 187.787269 49.698581 27.751806 0.181739
690 | 329.854345 191.364309 50.366100 29.555821 0.192410
693 | 328.717120 191.655775 49.921985 29.478381 0.134737
710 | 285.597411 189.828237 49.321527 29.907889 -0.111964
713 | 276.753293 189.187832 48.049026 28.990974 -0.135078
720 | 228.023213 195.874283 51.053061 26.201113 -0.285538
723 | 209.281926 199.335654 48.956889 23.941386 -0.467022
724 | 208.760469 198.733596 50.169469 22.629845 -0.447884
730 | 196.180710 200.530333 47.990151 21.846737 -0.557765
735 | 192.608267 201.846394 47.276566 20.787832 -0.541829
736 | 192.973759 201.780540 48.207273 20.927309 -0.531900
740 | 189.801427 202.392452 46.607918 21.521093 -0.546184
743 | 189.564387 202.299192 45.745031 21.814113 -0.552932
750 | 189.860310 201.515564 46.201633 21.453137 -0.545183
767 | 189.075196 200.495695 46.792994 20.841067 -0.567633
775 | 189.051107 200.862495 46.396370 20.800304 -0.548919
782 | 188.799625 200.352227 47.938499 20.726156 -0.546421
790 | 187.449161 201.022843 46.535760 21.700599 -0.549403
796 | 199.108994 195.985448 49.913527 22.153635 -0.495717
797 | 198.153036 197.001599 47.961947 21.997445 -0.497218
798 | 197.820735 197.481327 47.381120 22.518486 -0.499435
814 | 187.991522 203.472080 44.731735 21.338725 -0.609512
817 | 190.348504 201.161359 46.568475 21.427221 -0.556610
820 | 197.739308 203.461966 45.299304 19.523116 -0.518601
838 | 292.250915 174.823044 44.913430 23.745900 -0.007988
866 | 254.329128 186.194049 46.012119 26.242718 -0.257559
869 | 254.148588 185.113176 47.085115 26.396240 -0.208445
872 | 184.265183 231.287929 46.453476 28.844668 -0.661596
874 | 181.890706 231.243153 46.144586 27.186582 -0.683369
900 | 172.555942 242.724123 44.617620 27.381686 -0.776178
910 | 172.918073 242.797082 46.400350 28.584158 -0.787611
914 | 172.998427 243.222352 46.120684 28.920870 -0.776595
918 | 171.330742 244.533080 44.630233 28.696121 -0.739249
932 | 113.369731 300.445329 44.650025 22.707705 -1.121725
933 | 113.104897 301.966440 47.231320 22.823079 -1.131164
937 | 135.483677 273.539855 49.279817 25.662874 -0.965927
